




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	L2-3 IT All DE Genes.txt (Mus musculus)
Reference List:	L2-3 IT All Expressed Genes.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	L2-3 IT All Expressed Genes.txt - REFLIST (9465)	L2-3 IT All DE Genes.txt (249)	L2-3 IT All DE Genes.txt (expected)	L2-3 IT All DE Genes.txt (over/under)	L2-3 IT All DE Genes.txt (fold Enrichment)	L2-3 IT All DE Genes.txt (raw P-value)	L2-3 IT All DE Genes.txt (FDR)
regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002923)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of humoral immune response (GO:0002922)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of humoral immune response (GO:0002921)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of humoral immune response (GO:0002920)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
water homeostasis (GO:0030104)	24	0	.63	-	 < 0.01	1.00E00	1.00E00
natural killer cell activation (GO:0030101)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
negative regulation of transposition (GO:0010529)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of transposition (GO:0010528)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
negative regulation of transposition, RNA-mediated (GO:0010526)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of transposition, RNA-mediated (GO:0010525)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion transport into cytosol (GO:0010524)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion transport into cytosol (GO:0010523)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion transport into cytosol (GO:0010522)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of lymphocyte anergy (GO:0002913)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of lymphocyte anergy (GO:0002911)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of reciprocal meiotic recombination (GO:0010520)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
spermidine metabolic process (GO:0008216)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
spermine metabolic process (GO:0008215)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
mineralocorticoid metabolic process (GO:0008212)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glucocorticoid metabolic process (GO:0008211)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
estrogen metabolic process (GO:0008210)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipase activity (GO:0010519)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipase activity (GO:0010518)	22	0	.58	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipase activity (GO:0010517)	31	0	.82	-	 < 0.01	1.00E00	1.00E00
negative regulation of mature B cell apoptotic process (GO:0002906)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of mature B cell apoptotic process (GO:0002905)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of B cell apoptotic process (GO:0002904)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphatidylinositol biosynthetic process (GO:0010513)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
androgen metabolic process (GO:0008209)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of B cell apoptotic process (GO:0002903)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphatidylinositol biosynthetic process (GO:0010512)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of B cell apoptotic process (GO:0002902)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatidylinositol biosynthetic process (GO:0010511)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
C21-steroid hormone metabolic process (GO:0008207)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of gap junction assembly (GO:1903598)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
bile acid metabolic process (GO:0008206)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of gap junction assembly (GO:1903596)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of histamine secretion by mast cell (GO:1903595)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
cholesterol metabolic process (GO:0008203)	57	0	1.50	-	 < 0.01	4.06E-01	1.00E00
steroid metabolic process (GO:0008202)	94	0	2.47	-	 < 0.01	1.80E-01	1.00E00
regulation of histamine secretion by mast cell (GO:1903593)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
RNA secondary structure unwinding (GO:0010501)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903588)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone deubiquitination (GO:1903586)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of histone deubiquitination (GO:1903584)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of ATP metabolic process (GO:1903580)	25	0	.66	-	 < 0.01	1.00E00	1.00E00
negative regulation of ATP metabolic process (GO:1903579)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
regulation of ATP metabolic process (GO:1903578)	43	0	1.13	-	 < 0.01	6.29E-01	1.00E00
cellular response to L-arginine (GO:1903577)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
response to L-arginine (GO:1903576)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cornified envelope assembly (GO:1903575)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	35	0	.92	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to ciliary membrane (GO:1903569)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to ciliary membrane (GO:1903568)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to ciliary membrane (GO:1903567)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to cilium (GO:1903566)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to cilium (GO:1903565)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to cilium (GO:1903564)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	32	0	.84	-	 < 0.01	1.00E00	1.00E00
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	20	0	.53	-	 < 0.01	1.00E00	1.00E00
positive regulation of extracellular exosome assembly (GO:1903553)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of extracellular exosome assembly (GO:1903551)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
one-carbon compound transport (GO:0019755)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
protein localization to photoreceptor outer segment (GO:1903546)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of exosomal secretion (GO:1903543)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
negative regulation of exosomal secretion (GO:1903542)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of exosomal secretion (GO:1903541)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to postsynaptic membrane (GO:1903540)	19	0	.50	-	 < 0.01	1.00E00	1.00E00
regulation of isoprenoid metabolic process (GO:0019747)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of meiotic cell cycle process involved in oocyte maturation (GO:1903538)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
paramesonephric duct development (GO:0061205)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
nitrogen utilization (GO:0019740)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane tubulation (GO:1903527)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of membrane tubulation (GO:1903526)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
antifungal humoral response (GO:0019732)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of membrane tubulation (GO:1903525)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
antibacterial humoral response (GO:0019731)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
antimicrobial humoral response (GO:0019730)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
positive regulation of single strand break repair (GO:1903518)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
B cell mediated immunity (GO:0019724)	23	0	.61	-	 < 0.01	1.00E00	1.00E00
regulation of single strand break repair (GO:1903516)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
release of sequestered calcium ion into cytosol by endoplasmic reticulum (GO:1903514)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum to cytosol transport (GO:1903513)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
Mo-molybdopterin cofactor metabolic process (GO:0019720)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
phytanic acid metabolic process (GO:1903512)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mucopolysaccharide metabolic process (GO:1903510)	40	0	1.05	-	 < 0.01	6.27E-01	1.00E00
liposaccharide metabolic process (GO:1903509)	59	0	1.55	-	 < 0.01	4.07E-01	1.00E00
regulation of mitotic spindle checkpoint (GO:1903504)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
cell fate commitment involved in formation of primary germ layer (GO:0060795)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
sweat gland development (GO:0060792)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sphingosine-1-phosphate receptor signaling pathway (GO:0003376)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
dynamin family protein polymerization involved in mitochondrial fission (GO:0003374)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dynamin family protein polymerization involved in membrane fission (GO:0003373)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to camptothecin (GO:0072757)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular response to benomyl (GO:0072755)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to leptomycin B (GO:0072750)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hair follicle placode formation (GO:0060789)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of apoptosis involved in tissue homeostasis (GO:0060785)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cell-matrix adhesion involved in ameboidal cell migration (GO:0003366)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
establishment of cell polarity involved in ameboidal cell migration (GO:0003365)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lamellipodium assembly involved in ameboidal cell migration (GO:0003363)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to cytochalasin B (GO:0072749)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial cell proliferation involved in prostate gland development (GO:0060770)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
noradrenergic neuron development (GO:0003358)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
noradrenergic neuron differentiation (GO:0003357)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of cilium beat frequency (GO:0003356)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of cilium movement (GO:0003353)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of cilium movement (GO:0003352)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethioninamine metabolic process (GO:0046499)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
S-adenosylhomocysteine metabolic process (GO:0046498)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	27	0	.71	-	 < 0.01	1.00E00	1.00E00
cellular response to diamide (GO:0072738)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
response to diamide (GO:0072737)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
isopentenyl diphosphate metabolic process (GO:0046490)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial cell proliferation involved in prostate gland development (GO:0060769)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial cell proliferation involved in prostate gland development (GO:0060768)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
epithelial cell proliferation involved in prostate gland development (GO:0060767)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
mammary duct terminal end bud growth (GO:0060763)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of branching involved in mammary gland duct morphogenesis (GO:0060762)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
epicardium-derived cardiac endothelial cell differentiation (GO:0003349)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cardiac endothelial cell differentiation (GO:0003348)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
epicardial cell to mesenchymal cell transition (GO:0003347)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
proepicardium cell migration involved in pericardium morphogenesis (GO:0003345)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pericardium morphogenesis (GO:0003344)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
cilium movement (GO:0003341)	68	0	1.79	-	 < 0.01	4.23E-01	1.00E00
negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0003340)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glyoxylate metabolic process (GO:0046487)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to dithiothreitol (GO:0072721)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
response to dithiothreitol (GO:0072720)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
branch elongation involved in mammary gland duct branching (GO:0060751)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
epithelial cell proliferation involved in mammary gland duct elongation (GO:0060750)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0003339)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
metanephros morphogenesis (GO:0003338)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
corneocyte development (GO:0003335)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
keratinocyte development (GO:0003334)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
amino acid transmembrane transport (GO:0003333)	40	0	1.05	-	 < 0.01	6.27E-01	1.00E00
glycosphingolipid catabolic process (GO:0046479)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of extracellular matrix constituent secretion (GO:0003331)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of extracellular matrix constituent secretion (GO:0003330)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
lactosylceramide metabolic process (GO:0046478)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
glycosylceramide catabolic process (GO:0046477)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
glycosylceramide biosynthetic process (GO:0046476)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
cellular response to cisplatin (GO:0072719)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
response to cisplatin (GO:0072718)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to actinomycin D (GO:0072717)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid metabolic process (GO:0046473)	18	0	.47	-	 < 0.01	1.00E00	1.00E00
response to actinomycin D (GO:0072716)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
phosphatidylglycerol metabolic process (GO:0046471)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
cellular response to hydroxyurea (GO:0072711)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
response to hydroxyurea (GO:0072710)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
tertiary branching involved in mammary gland duct morphogenesis (GO:0060748)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
mammary gland branching involved in pregnancy (GO:0060745)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
mammary gland branching involved in thelarche (GO:0060744)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
epithelial cell maturation involved in prostate gland development (GO:0060743)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
epithelial cell differentiation involved in prostate gland development (GO:0060742)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
prostate gland epithelium morphogenesis (GO:0060740)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
type B pancreatic cell development (GO:0003323)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
platelet activating factor metabolic process (GO:0046469)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood pressure by epinephrine-norepinephrine (GO:0003321)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
membrane lipid catabolic process (GO:0046466)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
dolichyl diphosphate metabolic process (GO:0046465)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
acylglycerol catabolic process (GO:0046464)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
response to sorbitol (GO:0072708)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
monoacylglycerol metabolic process (GO:0046462)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
neutral lipid catabolic process (GO:0046461)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
cellular response to mercaptoethanol (GO:0072705)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
response to mercaptoethanol (GO:0072704)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
late endosome to Golgi transport (GO:0034499)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
early endosome to Golgi transport (GO:0034498)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
protein localization to phagophore assembly site (GO:0034497)	16	0	.42	-	 < 0.01	1.00E00	1.00E00
prostate gland morphogenetic growth (GO:0060737)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of eIF2 alpha phosphorylation by dsRNA (GO:0060735)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation (GO:0060734)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of inositol phosphate biosynthetic process (GO:0060732)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of intestinal epithelial structure maintenance (GO:0060731)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of intestinal epithelial structure maintenance (GO:0060730)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acid metabolic process (GO:0046459)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
hexadecanal metabolic process (GO:0046458)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pancreatic A cell differentiation (GO:0003310)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dihydrofolate metabolic process (GO:0046452)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
vacuolar transmembrane transport (GO:0034486)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
T-helper cell differentiation (GO:0042093)	14	0	.37	-	 < 0.01	1.00E00	1.00E00
type 2 immune response (GO:0042092)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
type B pancreatic cell differentiation (GO:0003309)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of Wnt signaling pathway involved in heart development (GO:0003308)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Wnt signaling pathway involved in heart development (GO:0003306)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
physiological cardiac muscle hypertrophy (GO:0003301)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
FAD metabolic process (GO:0046443)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3-K36 trimethylation (GO:0097198)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
pilomotor reflex (GO:0097195)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
execution phase of apoptosis (GO:0097194)	20	0	.53	-	 < 0.01	1.00E00	1.00E00
U6 snRNA 3'-end processing (GO:0034477)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
U5 snRNA 3'-end processing (GO:0034476)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)	18	0	.47	-	 < 0.01	1.00E00	1.00E00
U4 snRNA 3'-end processing (GO:0034475)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
chorionic trophoblast cell differentiation (GO:0060718)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
U2 snRNA 3'-end processing (GO:0034474)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
chorion development (GO:0060717)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
U1 snRNA 3'-end processing (GO:0034473)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
snRNA 3'-end processing (GO:0034472)	14	0	.37	-	 < 0.01	1.00E00	1.00E00
syncytiotrophoblast cell differentiation involved in labyrinthine layer development (GO:0060715)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ncRNA 5'-end processing (GO:0034471)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
labyrinthine layer morphogenesis (GO:0060713)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
spongiotrophoblast layer development (GO:0060712)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
chorio-allantoic fusion (GO:0060710)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
response to denervation involved in regulation of muscle adaptation (GO:0014894)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
striated muscle atrophy (GO:0014891)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-cysteine metabolic process (GO:0046439)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
D-amino acid biosynthetic process (GO:0046437)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dentinogenesis (GO:0097187)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
germ-line stem cell division (GO:0042078)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
glycogen cell differentiation involved in embryonic placenta development (GO:0060709)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
response to carbon monoxide (GO:0034465)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
spongiotrophoblast differentiation (GO:0060708)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
intraciliary transport (GO:0042073)	44	0	1.16	-	 < 0.01	6.30E-01	1.00E00
trophoblast giant cell differentiation (GO:0060707)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
90S preribosome assembly (GO:0034463)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cell differentiation involved in embryonic placenta development (GO:0060706)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
small-subunit processome assembly (GO:0034462)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
muscle atrophy (GO:0014889)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of endoribonuclease activity (GO:0060702)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of ribonuclease activity (GO:0060701)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of ribonuclease activity (GO:0060700)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
transition between slow and fast fiber (GO:0014886)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of receptor signaling pathway via JAK-STAT (GO:0046426)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
ruffle assembly (GO:0097178)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of catecholamine metabolic process (GO:0042069)	16	0	.42	-	 < 0.01	1.00E00	1.00E00
microtubule anchoring at centrosome (GO:0034454)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
microtubule anchoring (GO:0034453)	20	0	.53	-	 < 0.01	1.00E00	1.00E00
response to muscle inactivity involved in regulation of muscle adaptation (GO:0014877)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
response to injury involved in regulation of muscle adaptation (GO:0014876)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
response to stimulus involved in regulation of muscle adaptation (GO:0014874)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
protein repair (GO:0030091)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
response to muscle activity involved in regulation of muscle adaptation (GO:0014873)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
response to muscle inactivity (GO:0014870)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
D-amino acid metabolic process (GO:0046416)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
urate metabolic process (GO:0046415)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
circadian regulation of translation (GO:0097167)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)	20	0	.53	-	 < 0.01	1.00E00	1.00E00
ammonium ion metabolic process (GO:0097164)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle clearance (GO:0034447)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of dopamine metabolic process (GO:0042053)	14	0	.37	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipoprotein oxidation (GO:0034443)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of lipoprotein oxidation (GO:0034442)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
skeletal myofibril assembly (GO:0014866)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle contraction via regulation of action potential (GO:0014861)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neurotransmitter secretion involved in regulation of skeletal muscle contraction (GO:0014860)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of immunoglobulin mediated immune response (GO:0002890)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
olfactory behavior (GO:0042048)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
GABAergic neuron differentiation (GO:0097154)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
glycoprotein transport (GO:0034436)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
cholesterol esterification (GO:0034435)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell apoptotic process (GO:0097152)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
sterol esterification (GO:0034434)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
neuronal stem cell population maintenance (GO:0097150)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
steroid esterification (GO:0034433)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
metal incorporation into metallo-molybdopterin complex (GO:0042040)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of skeletal muscle cell proliferation (GO:0014859)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle cell proliferation (GO:0014858)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle cell proliferation (GO:0014857)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
skeletal muscle cell proliferation (GO:0014856)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
response to inactivity (GO:0014854)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction (GO:0014853)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
