




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Micro-PVM All DE Genes.txt (Mus musculus)
Reference List:	Micro-PVM All Expressed Genes.txt (Mus musculus)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Micro-PVM All Expressed Genes.txt - REFLIST (4751)	Micro-PVM All DE Genes.txt (40)	Micro-PVM All DE Genes.txt (expected)	Micro-PVM All DE Genes.txt (over/under)	Micro-PVM All DE Genes.txt (fold Enrichment)	Micro-PVM All DE Genes.txt (raw P-value)	Micro-PVM All DE Genes.txt (FDR)
regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010767)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of sodium ion transport (GO:0010766)	8	1	.07	+	14.85	7.27E-02	1.00E00
positive regulation of sodium ion transport (GO:0010765)	24	2	.20	+	9.90	1.95E-02	1.00E00
negative regulation of fibroblast migration (GO:0010764)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of fibroblast migration (GO:0010763)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of iodide transmembrane transport (GO:1904213)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of fibroblast migration (GO:0010762)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of iodide transmembrane transport (GO:1904212)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fibroblast migration (GO:0010761)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
membrane protein proteolysis involved in retrograde protein transport, ER to cytosol (GO:1904211)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein import into nucleus (GO:0042308)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
immunoglobulin mediated immune response (GO:0016064)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein import into nucleus (GO:0042307)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of protein import into nucleus (GO:0042306)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of fatty acid biosynthetic process (GO:0042304)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
hypoxia-inducible factor-1alpha signaling pathway (GO:0097411)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
molting cycle (GO:0042303)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell migration (GO:0030336)	118	3	.99	+	3.02	7.90E-02	1.00E00
positive regulation of cell migration (GO:0030335)	207	3	1.74	+	1.72	2.55E-01	1.00E00
regulation of cell migration (GO:0030334)	350	7	2.95	+	2.38	2.64E-02	1.00E00
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage chemotaxis (GO:0010759)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage chemotaxis (GO:0010758)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of plasminogen activation (GO:0010757)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of plasminogen activation (GO:0010756)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle hypertrophy (GO:1904206)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of plasminogen activation (GO:0010755)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cGMP-mediated signaling (GO:0010754)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle hypertrophy (GO:1904204)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cGMP-mediated signaling (GO:0010752)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of iodide transport (GO:1904202)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of iodide transport (GO:1904201)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of nitric oxide mediated signal transduction (GO:0010750)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Wnt signaling pathway (GO:0016055)	82	0	.69	-	 < 0.01	1.00E00	1.00E00
organic acid catabolic process (GO:0016054)	39	0	.33	-	 < 0.01	1.00E00	1.00E00
organic acid biosynthetic process (GO:0016053)	49	0	.41	-	 < 0.01	1.00E00	1.00E00
carbohydrate catabolic process (GO:0016052)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
carbohydrate biosynthetic process (GO:0016051)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
cellular response to raffinose (GO:0097403)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle organization (GO:0016050)	136	1	1.15	-	.87	1.00E00	1.00E00
neuroblast migration (GO:0097402)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle lumen acidification (GO:0097401)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-17-mediated signaling pathway (GO:0097400)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
prenylcysteine metabolic process (GO:0030329)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prenylcysteine catabolic process (GO:0030328)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prenylated protein catabolic process (GO:0030327)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic limb morphogenesis (GO:0030326)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
adrenal gland development (GO:0030325)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
lung development (GO:0030324)	60	0	.51	-	 < 0.01	1.00E00	1.00E00
respiratory tube development (GO:0030323)	60	0	.51	-	 < 0.01	1.00E00	1.00E00
stabilization of membrane potential (GO:0030322)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
transepithelial chloride transport (GO:0030321)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular monovalent inorganic anion homeostasis (GO:0030320)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of nitric oxide mediated signal transduction (GO:0010749)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of long-chain fatty acid import across plasma membrane (GO:0010748)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of long-chain fatty acid import across plasma membrane (GO:0010747)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of long-chain fatty acid import across plasma membrane (GO:0010746)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage derived foam cell differentiation (GO:0010745)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage derived foam cell differentiation (GO:0010744)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cell growth (GO:0016049)	47	2	.40	+	5.05	6.25E-02	1.00E00
regulation of macrophage derived foam cell differentiation (GO:0010743)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
detection of temperature stimulus (GO:0016048)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
macrophage derived foam cell differentiation (GO:0010742)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
detection of bacterium (GO:0016045)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular component organization (GO:0016043)	1688	16	14.21	+	1.13	6.19E-01	1.00E00
lipid catabolic process (GO:0016042)	71	1	.60	+	1.67	4.56E-01	1.00E00
melanocyte differentiation (GO:0030318)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
flagellated sperm motility (GO:0030317)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
osteoclast differentiation (GO:0030316)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
poly-N-acetyllactosamine biosynthetic process (GO:0030311)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein kinase A signaling (GO:0010739)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein kinase A signaling (GO:0010738)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
protein kinase A signaling (GO:0010737)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to phosphate starvation (GO:0016036)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide biosynthetic process (GO:0010730)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
memory T cell proliferation (GO:0061485)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell homeostasis (GO:0061484)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
viral process (GO:0016032)	69	0	.58	-	 < 0.01	1.00E00	1.00E00
tRNA import into mitochondrion (GO:0016031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to TNF agonist (GO:0061481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
poly-N-acetyllactosamine metabolic process (GO:0030309)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell growth (GO:0030308)	56	0	.47	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell growth (GO:0030307)	84	0	.71	-	 < 0.01	1.00E00	1.00E00
cholesterol transport (GO:0030301)	20	1	.17	+	5.94	1.62E-01	1.00E00
regulation of intestinal cholesterol absorption (GO:0030300)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide biosynthetic process (GO:0010729)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hydrogen peroxide biosynthetic process (GO:0010728)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide metabolic process (GO:0010727)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide metabolic process (GO:0010726)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of primitive erythrocyte differentiation (GO:0010725)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of definitive erythrocyte differentiation (GO:0010724)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell development (GO:0010721)	65	0	.55	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell development (GO:0010720)	144	1	1.21	-	.82	1.00E00	1.00E00
CDP-diacylglycerol biosynthetic process (GO:0016024)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
T follicular helper cell differentiation (GO:0061470)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial to mesenchymal transition (GO:0010719)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial to mesenchymal transition (GO:0010718)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial to mesenchymal transition (GO:0010717)	30	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of extracellular matrix disassembly (GO:0010715)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of collagen metabolic process (GO:0010714)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of collagen metabolic process (GO:0010713)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of type B pancreatic cell proliferation (GO:0061469)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of collagen metabolic process (GO:0010712)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of miRNA maturation (GO:1903799)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of collagen catabolic process (GO:0010710)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of miRNA maturation (GO:1903798)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
gonad development (GO:0008406)	54	0	.45	-	 < 0.01	1.00E00	1.00E00
positive regulation of inorganic anion transmembrane transport (GO:1903797)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of inorganic anion transmembrane transport (GO:1903796)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of inorganic anion transmembrane transport (GO:1903795)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein localization to lysosome (GO:0061462)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of anion transport (GO:1903793)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of anion transport (GO:1903792)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
guanine nucleotide transmembrane transport (GO:1903790)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
globoside biosynthetic process via lactosylceramide (GO:0010707)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ganglioside biosynthetic process via lactosylceramide (GO:0010706)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break processing involved in reciprocal meiotic recombination (GO:0010705)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
reproductive system development (GO:0061458)	77	0	.65	-	 < 0.01	1.00E00	1.00E00
regulation of amino acid transmembrane transport (GO:1903789)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of norepinephrine secretion (GO:0010700)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutathione biosynthetic process (GO:1903788)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of glutathione biosynthetic process (GO:1903786)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
connective tissue development (GO:0061448)	62	0	.52	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac conduction (GO:1903779)	3	1	.03	+	39.59	3.30E-02	1.00E00
translesion synthesis (GO:0019985)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
protein localization to vacuolar membrane (GO:1903778)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell fate commitment (GO:0061445)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA double-strand break processing (GO:1903775)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell differentiation (GO:0061443)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of viral budding via host ESCRT complex (GO:1903774)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
renal artery morphogenesis (GO:0061441)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of viral budding via host ESCRT complex (GO:1903772)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
kidney vasculature development (GO:0061440)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of beta-galactosidase activity (GO:1903771)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of beta-galactosidase activity (GO:1903770)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
miRNA processing (GO:0035196)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
kidney vasculature morphogenesis (GO:0061439)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
miRNA-mediated gene silencing (GO:0035195)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
renal system vasculature morphogenesis (GO:0061438)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
post-transcriptional gene silencing by RNA (GO:0035194)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
renal system vasculature development (GO:0061437)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
establishment of skin barrier (GO:0061436)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion export across plasma membrane (GO:1903764)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to caloric restriction (GO:0061433)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
bone trabecula morphogenesis (GO:0061430)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903760)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hatching (GO:0035188)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061428)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of SUMO transferase activity (GO:1903755)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of p38MAPK cascade (GO:1903753)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of RIG-I signaling pathway (GO:0039536)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of RIG-I signaling pathway (GO:0039535)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of MDA-5 signaling pathway (GO:0039534)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of MDA-5 signaling pathway (GO:0039533)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039532)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039531)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
social behavior (GO:0035176)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of protein localization to mitochondrion (GO:1903748)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of protein localization to mitochondrion (GO:1903747)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sexual reproduction (GO:0019953)	193	2	1.62	+	1.23	6.77E-01	1.00E00
positive regulation of anterograde synaptic vesicle transport (GO:1903744)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of anterograde synaptic vesicle transport (GO:1903742)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphatidate phosphatase activity (GO:1903741)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RIG-I signaling pathway (GO:0039529)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic pattern recognition receptor signaling pathway in response to virus (GO:0039528)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
modulation by virus of host apoptotic process (GO:0039526)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
post-embryonic hemopoiesis (GO:0035166)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic hemopoiesis (GO:0035162)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
modification-dependent protein catabolic process (GO:0019941)	270	2	2.27	-	.88	1.00E00	1.00E00
regulation of phosphatidate phosphatase activity (GO:1903730)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane organization (GO:1903729)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
cyclic-nucleotide-mediated signaling (GO:0019935)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
cGMP-mediated signaling (GO:0019934)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipid metabolic process (GO:1903727)	5	1	.04	+	23.75	4.91E-02	1.00E00
cAMP-mediated signaling (GO:0019933)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipid metabolic process (GO:1903726)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of tube size (GO:0035150)	42	0	.35	-	 < 0.01	1.00E00	1.00E00
second-messenger-mediated signaling (GO:0019932)	59	2	.50	+	4.03	9.14E-02	1.00E00
regulation of phospholipid metabolic process (GO:1903725)	15	1	.13	+	7.92	1.26E-01	1.00E00
positive regulation of centriole elongation (GO:1903724)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of centriole elongation (GO:1903722)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of I-kappaB phosphorylation (GO:1903721)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of I-kappaB phosphorylation (GO:1903720)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tube formation (GO:0035148)	55	0	.46	-	 < 0.01	1.00E00	1.00E00
regulation of I-kappaB phosphorylation (GO:1903719)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of aerobic respiration (GO:1903715)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
spermine transmembrane transport (GO:1903710)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hindlimb morphogenesis (GO:0035137)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
forelimb morphogenesis (GO:0035136)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation, to symmetrical-dimethyl arginine (GO:0019918)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
uterine gland development (GO:1903709)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid storage (GO:0019915)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of hemopoiesis (GO:1903708)	78	0	.66	-	 < 0.01	1.00E00	1.00E00
negative regulation of hemopoiesis (GO:1903707)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of hemopoiesis (GO:1903706)	151	0	1.27	-	 < 0.01	6.37E-01	1.00E00
post-embryonic forelimb morphogenesis (GO:0035128)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
post-embryonic limb morphogenesis (GO:0035127)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
post-embryonic appendage morphogenesis (GO:0035120)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic spine development (GO:0060999)	36	0	.30	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic spine development (GO:0060998)	48	1	.40	+	2.47	3.38E-01	1.00E00
dendritic spine morphogenesis (GO:0060997)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
dendritic spine development (GO:0060996)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
kidney morphogenesis (GO:0060993)	19	1	.16	+	6.25	1.55E-01	1.00E00
response to fungicide (GO:0060992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic hindlimb morphogenesis (GO:0035116)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
embryonic forelimb morphogenesis (GO:0035115)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
embryonic appendage morphogenesis (GO:0035113)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
genitalia morphogenesis (GO:0035112)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
lipid tube assembly (GO:0060988)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endocrine hormone secretion (GO:0060986)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epicardium-derived cardiac vascular smooth muscle cell differentiation (GO:0060983)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
coronary artery morphogenesis (GO:0060982)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cell migration involved in coronary vasculogenesis (GO:0060980)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
limb morphogenesis (GO:0035108)	44	0	.37	-	 < 0.01	1.00E00	1.00E00
appendage morphogenesis (GO:0035107)	44	0	.37	-	 < 0.01	1.00E00	1.00E00
operant conditioning (GO:0035106)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vasculogenesis involved in coronary vascular morphogenesis (GO:0060979)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
angiogenesis involved in coronary vascular morphogenesis (GO:0060978)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
coronary vasculature morphogenesis (GO:0060977)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
coronary vasculature development (GO:0060976)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
cell migration involved in heart development (GO:0060973)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
left/right pattern formation (GO:0060972)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
embryonic heart tube left/right pattern formation (GO:0060971)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
decidualization (GO:0046697)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of gene silencing by RNA (GO:0060967)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of gene silencing by RNA (GO:0060966)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of miRNA-mediated gene silencing (GO:0060965)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of miRNA-mediated gene silencing (GO:0060964)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
response to mercury ion (GO:0046689)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to copper ion (GO:0046688)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
response to chromate (GO:0046687)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to cadmium ion (GO:0046686)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
response to arsenic-containing substance (GO:0046685)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
response to pyrethroid (GO:0046684)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to organophosphorus (GO:0046683)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
endocardial cell fate commitment (GO:0060957)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endocardial cell differentiation (GO:0060956)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to antibiotic (GO:0046677)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of insulin secretion (GO:0046676)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of retinal cell programmed cell death (GO:0046671)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac vascular smooth muscle cell development (GO:0060948)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac vascular smooth muscle cell differentiation (GO:0060947)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cardiac neuron differentiation (GO:0060945)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epithelial to mesenchymal transition involved in cardiac fibroblast development (GO:0060940)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of retinal cell programmed cell death (GO:0046668)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retinal cell programmed cell death (GO:0046666)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
male sex differentiation (GO:0046661)	41	0	.35	-	 < 0.01	1.00E00	1.00E00
female sex differentiation (GO:0046660)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
response to gonadotropin (GO:0034698)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to prostaglandin E (GO:0034695)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
epicardium-derived cardiac fibroblast cell development (GO:0060939)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to prostaglandin (GO:0034694)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
epicardium-derived cardiac fibroblast cell differentiation (GO:0060938)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac fibroblast cell development (GO:0060936)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac fibroblast cell differentiation (GO:0060935)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate metabolic process (GO:0046653)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
lymphocyte proliferation (GO:0046651)	49	0	.41	-	 < 0.01	1.00E00	1.00E00
vocal learning (GO:0042297)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
atrioventricular node cell development (GO:0060928)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cardiac pacemaker cell development (GO:0060926)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cardiac muscle cell fate commitment (GO:0060923)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
atrioventricular node cell differentiation (GO:0060922)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cardiac pacemaker cell differentiation (GO:0060920)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lymphocyte activation (GO:0046649)	174	0	1.46	-	 < 0.01	4.03E-01	1.00E00
positive regulation of granulosa cell proliferation (GO:1904197)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of granulosa cell proliferation (GO:1904195)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
